Run,MAE,RMSE,R2,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
131,0.047138172028613444,0.0702837332694128,0.8921366742959868,20.0,0.8,4,4,500
128,0.047138172028613444,0.0702837332694128,0.8921366742959868,20.0,0.8,4,2,500
134,0.047138172028613444,0.0702837332694128,0.8921366742959868,20.0,0.8,4,8,500
178,0.047324180614402404,0.0702840349450966,0.8921357483402682,30.0,0.6,2,8,300
287,0.04721422724027069,0.07028971934696497,0.8921183000378498,40.0,0.8,2,8,500
129,0.047151027223192664,0.07029203838316254,0.8921111813383684,20.0,0.8,4,2,700
135,0.04715102722319267,0.07029203838316254,0.8921111813383684,20.0,0.8,4,8,700
132,0.047151027223192664,0.07029203838316254,0.8921111813383684,20.0,0.8,4,4,700
213,0.04715781280732466,0.07029614086010573,0.8920985874709176,30.0,0.8,4,4,700
216,0.04715781280732465,0.07029614086010573,0.8920985874709176,30.0,0.8,4,8,700
210,0.04715781280732465,0.07029614086010573,0.8920985874709176,30.0,0.8,4,2,700
92,0.04736522052960323,0.0702975680107296,0.8920942062024869,20.0,0.6,2,2,500
95,0.04736522052960322,0.0702975680107296,0.8920942062024869,20.0,0.6,2,4,500
212,0.04716420713266536,0.07030455976494913,0.8920727406431779,30.0,0.8,4,4,500
209,0.047164207132665364,0.07030455976494913,0.8920727406431779,30.0,0.8,4,2,500
215,0.04716420713266535,0.07030455976494913,0.8920727406431779,30.0,0.8,4,8,500
44,0.04720623924134647,0.07030597663829113,0.892068390404784,,0.8,2,8,500
174,0.047436832826118235,0.07030639452446291,0.8920671073485391,30.0,0.6,2,2,700
177,0.047436832826118235,0.07030639452446291,0.8920671073485391,30.0,0.6,2,4,700
43,0.04719383323227534,0.07030704167721172,0.8920651203489182,,0.8,2,8,300
123,0.04712966954937477,0.07030845612070738,0.8920607774176689,20.0,0.8,2,4,700
120,0.04712966954937477,0.07030845612070738,0.8920607774176689,20.0,0.8,2,2,700
176,0.04745512001187622,0.07031614779347312,0.8920371592460341,30.0,0.6,2,4,500
173,0.04745512001187622,0.07031614779347312,0.8920371592460341,30.0,0.6,2,2,500
286,0.047215011615160715,0.07032046611367863,0.8920238982114862,40.0,0.8,2,8,300
288,0.047186037745954715,0.07032703064279569,0.8920037377834431,40.0,0.8,2,8,700
14,0.04743786643268145,0.07033433711091913,0.8919812965619238,,0.6,2,4,500
11,0.04743786643268145,0.07033433711091913,0.8919812965619238,,0.6,2,2,500
119,0.0471633023428489,0.07033478337908623,0.8919799258100632,20.0,0.8,2,2,500
122,0.04716330234284889,0.07033478337908623,0.8919799258100632,20.0,0.8,2,4,500
99,0.04732346257095248,0.07034105366639527,0.891960665152423,20.0,0.6,2,8,700
124,0.047206421472164764,0.0703440105902742,0.8919515816716654,20.0,0.8,2,8,300
45,0.04718159099605872,0.07034881424303516,0.8919368243440599,,0.8,2,8,700
12,0.047450402606959784,0.07035077611434286,0.8919307969787884,,0.6,2,2,700
15,0.047450402606959784,0.07035077611434287,0.8919307969787884,,0.6,2,4,700
270,0.04737481591020404,0.0703572070946751,0.8919110382007575,40.0,0.6,4,8,700
264,0.04737481591020404,0.0703572070946751,0.8919110382007575,40.0,0.6,4,2,700
267,0.04737481591020404,0.0703572070946751,0.8919110382007575,40.0,0.6,4,4,700
21,0.047375633572975605,0.07035997308572299,0.8919025393137235,,0.6,4,2,700
24,0.047375633572975605,0.07035997308572299,0.8919025393137235,,0.6,4,4,700
27,0.047375633572975605,0.07035997308572299,0.8919025393137235,,0.6,4,8,700
121,0.04722290569177469,0.07036921576875116,0.8918741374782926,20.0,0.8,2,4,300
118,0.04722290569177469,0.07036921576875116,0.8918741374782926,20.0,0.8,2,2,300
97,0.047302054496787115,0.07036984940158669,0.891872190251666,20.0,0.6,2,8,300
98,0.047307334808020705,0.07037008164416435,0.8918714765391058,20.0,0.6,2,8,500
239,0.04711333542460027,0.07037220873159057,0.8918649396048461,30.0,1.0,4,4,500
236,0.04711333542460028,0.07037220873159059,0.8918649396048461,30.0,1.0,4,2,500
242,0.04711333542460028,0.07037220873159059,0.8918649396048461,30.0,1.0,4,8,500
172,0.04754382463650617,0.07037337329605123,0.8918613605985155,30.0,0.6,2,2,300
175,0.04754382463650617,0.07037337329605123,0.8918613605985155,30.0,0.6,2,4,300
258,0.047447275980299033,0.07037533000100099,0.8918553470072172,40.0,0.6,2,4,700
